Strategy,Trades,Wins,Losses,Flat,Win %,Gross BTC,Net BTC,Avg Trade BTC,Expectancy,Avg Win,Avg Loss,Profit Factor,Max DD,Final Equity,Return %,Avg Hold,Median Hold,Longest Hold,Trail exits,SL exits,Same-candle SL,Trail %,SL %,Fallback %,Fallback Count,Strategy Switch Count,net_usd,net_return_pct_capital,variant,arm,phase
E1_T3,379,180,199,0,47.49,0.0013133517666960887,-0.00014809490517890295,-3.9075172870422944e-07,-0.00039905455759315186,7.2963987038671595e-06,-7.343953124999959e-06,0.898665542828941,-0.03833175341543663,0.007685455094821097,-1.890520966597553,0.5207908238053357,0.25027777777777777,11.525,180,199,0,47.49,52.51,,0,0,-8.917305301433057,-0.8917305301433057,E1,T3,select
E1_T3,378,176,202,0,46.56,0.001217459231713184,-0.00026601929953680784,-7.037547606793858e-07,-0.0007187083870576031,6.917381998370364e-06,-7.34395312499996e-06,0.8206786994668149,-0.034885014873220044,0.007567530700463192,-3.3958971288471695,0.3562161963550853,0.1577777777777778,6.319166666666667,176,202,0,46.56,53.44,,0,0,-20.03617940593502,-2.003617940593502,E1,T3,holdout
E1_T4,757,347,410,0,45.84,0.0032705253744048594,-0.0007441690005951485,-9.83050198936788e-07,-0.0010039383921075762,9.42514517119556e-06,-9.791937500000018e-06,0.8146386919937967,-0.105264909433964,0.007089380999404852,-9.49976703531794,0.9485424922941434,0.3711111111111111,30.340555555555557,347,410,0,45.84,54.16,,0,0,-50.337282293168705,-5.033728229316871,E1,T4,full
E1_T4,379,169,210,0,44.59,0.0016620010014639088,-0.0003943058735360953,-1.0403848905965575e-06,-0.0010624913512740021,9.834325452449164e-06,-9.791937500000018e-06,0.8082456085081687,-0.06569614724213672,0.007439244126463905,-5.0335527766605885,1.2764387276458518,0.4436111111111111,30.340555555555557,169,210,0,44.59,55.41,,0,0,-24.35073935762375,-2.4350739357623747,E1,T4,select
E1_T4,378,178,200,0,47.09,0.0016085243729409503,-0.00034986312705905323,-9.255638281985535e-07,-0.0009452305309327737,9.036653780567137e-06,-9.791937500000016e-06,0.8213514296537062,-0.043466475681175024,0.007483686872940947,-4.466214258657352,0.6197788065843621,0.31027777777777776,11.925555555555556,178,200,0,47.09,52.91,,0,0,-25.986542935544954,-2.598654293554495,E1,T4,holdout
E1_T5,757,432,325,0,57.07,0.0041552507485528006,-0.0006183187826972055,-8.168015623476955e-07,-0.0008341572465589119,9.618635992020372e-06,-1.4687906250000021e-05,0.8704703516625444,-0.11389806284527206,0.007215231217302795,-7.893212945563699,1.6617055628944664,0.6033333333333334,72.43194444444444,432,325,0,57.07,42.93,,0,0,-36.900976782410865,-3.6900976782410866,E1,T5,full
E1_T5,379,202,177,0,53.3,0.0019894013952121803,-0.0006103580110378238,-1.6104433008913559e-06,-0.0016446625613075608,9.84852175847614e-06,-1.4687906250000025e-05,0.7652251936965858,-0.09180378786499725,0.007223191988962176,-7.791588884194567,2.204029610085019,0.7533333333333333,72.43194444444444,202,177,0,53.3,46.7,,0,0,-38.63875416948578,-3.8638754169485776,E1,T5,select
E1_T5,378,230,148,0,60.85,0.0021658493533406207,-7.960771659381682e-06,-2.1060242485136727e-08,-2.150773785590117e-05,9.416736318872264e-06,-1.4687906250000018e-05,0.9963378716623735,-0.02759200320945079,0.007825589228340618,-0.10162406136913216,1.1179467960023517,0.47375,21.50138888888889,230,148,0,60.85,39.15,,0,0,1.7377773870749138,0.17377773870749139,E1,T5,holdout
E1_T6,757,362,395,0,47.82,0.0053121914769829045,-0.0004895314917671032,-6.466730406434653e-07,-0.0006604137747442374,1.4674562091112996e-05,-1.468790625000002e-05,0.9156230839693861,-0.11285546184863834,0.007344018508232897,-6.249165343517349,2.4968218846323205,0.8866666666666667,72.43194444444444,362,395,0,47.82,52.18,,0,0,-27.427375560858465,-2.7427375560858462,E1,T6,full
E1_T6,379,170,209,0,44.85,0.002502731679056649,-0.0005670407271933558,-1.4961496759719149e-06,-0.0015279403856202256,1.4721951053274405e-05,-1.4687906250000023e-05,0.8152824860765343,-0.10369406026292283,0.0072665092728066445,-7.238617576875816,3.3105108472588682,1.2558333333333334,72.43194444444444,170,209,0,44.85,55.15,,0,0,-35.51601740003103,-3.5516017400031035,E1,T6,select
E1_T6,378,192,186,0,50.79,0.002809459797926255,7.750923542625251e-05,2.050508873710384e-07,0.00020940788007586697,1.4632603114199245e-05,-1.4687906250000014e-05,1.028371390203827,-0.029882590298083142,0.007911059235426253,0.9894522333584677,1.6809803057025277,0.7205555555555556,36.17444444444445,192,186,0,50.79,49.21,,0,0,8.08864183917256,0.808864183917256,E1,T6,holdout
E1_T7,757,365,392,0,48.22,0.007255244650787886,-0.000421634349212124,-5.569806462511546e-07,-0.0005688155651025702,1.9877382604898318e-05,-1.9583875000000026e-05,0.9450773746450709,-0.16996415929313416,0.007411915650787876,-5.38241728478307,4.813507265521796,1.8180555555555555,107.33944444444444,365,392,0,48.22,51.78,,0,0,-17.223106388136316,-1.7223106388136316,E1,T7,full
E1_T7,379,168,211,0,44.33,0.003251063137302425,-0.0008811344876975809,-2.32489310738148e-06,-0.0023742932462359773,1.9351566293466816e-05,-1.9583875000000026e-05,0.7867637108238308,-0.1456016606028758,0.006952415512302419,-11.248214254042942,6.567590149516271,2.548888888888889,107.33944444444444,168,211,0,44.33,55.67,,0,0,-55.688040541127236,-5.568804054112724,E1,T7,select
E1_T7,378,197,181,0,52.12,0.0040041815134854615,0.0004595001384854569,1.2156088319721082e-06,0.0012414385120126717,2.0325794484697773e-05,-1.9583875000000023e-05,1.129630872248837,-0.04186210129413366,0.008293050138485457,5.865796969259884,3.0547839506172845,1.3191666666666668,90.375,197,181,0,52.12,47.88,,0,0,38.46493415299092,3.846493415299092,E1,T7,holdout
E1_T8,757,354,403,0,46.76,0.002507781547827542,-0.00043717229494610454,-5.775063341428066e-07,-0.0005897773899627181,7.084128666179497e-06,-7.307577773631877e-06,0.8515520723630893,-0.06885799233636318,0.0073963777050538955,-5.580768552522219,0.515804344635256,0.24444444444444444,22.470555555555556,356,401,0,47.03,52.97,,0,0,-30.4822031764679,-3.0482203176467895,E1,T8,full
E1_T8,379,178,201,0,46.97,0.0012260633436007712,-0.0002354119679228837,-6.211397570524636e-07,-0.000634337951046423,6.887996312363883e-06,-7.271021450366442e-06,0.8389216936703119,-0.04779545315385742,0.007598138032077116,-3.005176043082436,0.6334146877748461,0.30083333333333334,22.470555555555556,180,199,0,47.49,52.51,,0,0,-14.439103019783806,-1.4439103019783806,E1,T8,select
