arm,fraction,max_open,trades_signal,trades_executed,skipped_max_open,exposure_limited,fully_available,final_equity_usd,net_pnl_usd,return_pct,max_dd,max_dd_pct,max_simultaneous,max_exposure,win_rate_pct,profit_factor,avg_pnl_usd,sum_win_usd,sum_loss_usd,phase,sweep,candidate
A10_M10,0.1,10,128,128,0,0,128,1013.6535955194868,13.653595519486771,1.365359551948675,-0.024842157135824893,-2.4842157135824894,4,0.39572410917343603,53.125,1.1137799626623874,0.10666871499598805,133.6535955194862,-119.99999999999973,select,grid,E2+T7
A10_M10,0.1,10,202,202,0,0,202,1051.916685576816,51.91668557681601,5.191668557681606,-0.022204379021847055,-2.2204379021847056,8,0.7866730466191977,54.95049504950495,1.2852565141583265,0.25701329493472935,233.9166855768149,-181.99999999999957,holdout,grid,E2+T7
A10_M10,0.1,10,330,330,0,0,330,1065.5702810963019,65.57028109630187,6.557028109630192,-0.024842157135824893,-2.4842157135824894,8,0.7762509886916779,54.24242424242424,1.21712013608047,0.1986978215039448,367.5702810963011,-301.9999999999993,full,grid,E2+T7
A10_M12,0.1,12,128,128,0,0,128,1013.6535955194868,13.653595519486771,1.365359551948675,-0.024842157135824893,-2.4842157135824894,4,0.39572410917343603,53.125,1.1137799626623874,0.10666871499598805,133.6535955194862,-119.99999999999973,select,grid,E2+T7
A10_M12,0.1,12,202,202,0,0,202,1051.916685576816,51.91668557681601,5.191668557681606,-0.022204379021847055,-2.2204379021847056,8,0.7866730466191977,54.95049504950495,1.2852565141583265,0.25701329493472935,233.9166855768149,-181.99999999999957,holdout,grid,E2+T7
A10_M12,0.1,12,330,330,0,0,330,1065.5702810963019,65.57028109630187,6.557028109630192,-0.024842157135824893,-2.4842157135824894,8,0.7762509886916779,54.24242424242424,1.21712013608047,0.1986978215039448,367.5702810963011,-301.9999999999993,full,grid,E2+T7
A12.5_M4,0.125,4,128,128,0,0,128,1017.0669943993584,17.06699439935835,1.7066994399358437,-0.030841074284770603,-3.0841074284770604,4,0.4933367277239937,53.125,1.113779962662387,0.13333589374498506,167.06699439935772,-149.99999999999972,select,grid,E2+T7
A12.5_M4,0.125,4,202,192,10,0,192,1065.38690928338,65.38690928337996,6.538690928337987,-0.02042884286108448,-2.042884286108448,4,0.4996765088449547,55.208333333333336,1.304125159457583,0.34055681918427166,280.3869092833797,-214.99999999999952,holdout,grid,E2+T7
A12.5_M4,0.125,4,330,320,10,0,320,1082.4539036827375,82.45390368273752,8.245390368273743,-0.030841074284770603,-3.0841074284770604,4,0.4933367277239937,54.375,1.225901105980105,0.25766844900855707,447.4539036827374,-364.9999999999992,full,grid,E2+T7
A12.5_M6,0.125,6,128,128,0,0,128,1017.0669943993584,17.06699439935835,1.7066994399358437,-0.030841074284770603,-3.0841074284770604,4,0.4933367277239937,53.125,1.113779962662387,0.13333589374498506,167.06699439935772,-149.99999999999972,select,grid,E2+T7
A12.5_M6,0.125,6,202,199,3,0,199,1062.8224604991806,62.82246049918058,6.28224604991805,-0.025277933370807224,-2.5277933370807224,6,0.7382769992776335,54.77386934673367,1.2792109355519157,0.3156907562772907,287.82246049918035,-224.9999999999995,holdout,grid,E2+T7
A12.5_M6,0.125,6,330,327,3,0,327,1079.8894548985381,79.88945489853813,7.988945489853805,-0.030841074284770603,-3.0841074284770604,6,0.7260787128925908,54.12844036697248,1.2130385463961042,0.24431025962855943,454.88945489853813,-374.9999999999992,full,grid,E2+T7
A12.5_M8,0.125,8,128,128,0,0,128,1017.0669943993584,17.06699439935835,1.7066994399358437,-0.030841074284770603,-3.0841074284770604,4,0.4933367277239937,53.125,1.113779962662387,0.13333589374498506,167.06699439935772,-149.99999999999972,select,grid,E2+T7
A12.5_M8,0.125,8,202,202,0,0,202,1064.895856971019,64.89585697101893,6.489585697101896,-0.027592191980449137,-2.7592191980449137,8,0.9792629981726869,54.95049504950495,1.2852565141583268,0.3212666186684117,292.39585697101865,-227.49999999999946,holdout,grid,E2+T7
A12.5_M8,0.125,8,330,330,0,0,330,1081.9628513703763,81.96285137037626,8.196285137037629,-0.030841074284770603,-3.0841074284770604,8,0.9631655392137933,54.24242424242424,1.2171201360804698,0.24837227687993108,459.46285137037637,-377.4999999999992,full,grid,E2+T7
A12.5_M10,0.125,10,128,128,0,0,128,1017.0669943993584,17.06699439935835,1.7066994399358437,-0.030841074284770603,-3.0841074284770604,4,0.4933367277239937,53.125,1.113779962662387,0.13333589374498506,167.06699439935772,-149.99999999999972,select,grid,E2+T7
A12.5_M10,0.125,10,202,202,0,0,202,1064.895856971019,64.89585697101893,6.489585697101896,-0.027592191980449137,-2.7592191980449137,8,0.9792629981726869,54.95049504950495,1.2852565141583268,0.3212666186684117,292.39585697101865,-227.49999999999946,holdout,grid,E2+T7
A12.5_M10,0.125,10,330,330,0,0,330,1081.9628513703763,81.96285137037626,8.196285137037629,-0.030841074284770603,-3.0841074284770604,8,0.9631655392137933,54.24242424242424,1.2171201360804698,0.24837227687993108,459.46285137037637,-377.4999999999992,full,grid,E2+T7
A12.5_M12,0.125,12,128,128,0,0,128,1017.0669943993584,17.06699439935835,1.7066994399358437,-0.030841074284770603,-3.0841074284770604,4,0.4933367277239937,53.125,1.113779962662387,0.13333589374498506,167.06699439935772,-149.99999999999972,select,grid,E2+T7
A12.5_M12,0.125,12,202,202,0,0,202,1064.895856971019,64.89585697101893,6.489585697101896,-0.027592191980449137,-2.7592191980449137,8,0.9792629981726869,54.95049504950495,1.2852565141583268,0.3212666186684117,292.39585697101865,-227.49999999999946,holdout,grid,E2+T7
